,WardName,WardCode,WardCodeN,Pop2011,Children,WorkingAge,Older,PerChildren,PerWorking,PerOlder,MeanAge,MedianAge,AreaSqK,PopDensity,PerBAME,PerForeign,PerNoEngl,Fertility,MaleLiEx,FemLiEx,AmbPer1000,AmbAlco,Employed,EmpRate,NoofJobs,EmpPerHead,NHSNFore,HousePri,PropSold,HousePla,detached,semidet,terraced,flatmaisap,owned,socialrent,privrent,pershared,perfree,Ctab,Ctcde,CTfgh,mortgage,landlord,incapacity,incomesup,jobseekers,jsa1624,lonepar,outofwork,noadults,lonenot,id2010,Perid2010,GCSE,absence,noqual,level4,crime,violence,robbery,theft,criminal,drugs,fires,openspace,cars,ptaccess,elections,Candidate,InnerOuter,x,y
535,Sutton   Cheam,00BFGH,E05000560,10285,2039,6220,2026,19.82498785,60.47642197,19.69859018,41.7,43.0,3.9,2602.564103,21.2,18.6,3.3,46.31578947,82.33,82.96,88.3,0.287036705,4977,68.97172949,3400,0.568907563,10.92436975,502242.2233,103,4005,38.2,23.0,18.6,20.2,83.4,2.5,13.0,0.058337385,0.350024307,2.552773687,53.36278841,44.2317133, , ,1.965811966,1.709401709,1.887907355,2.31775403,12.57995736,6.823027719,1.865099642,29.87804878,613.0,0.0,381.7442105,0.585337727,14.6,38.6,45.34653465,7.227722772,0.495049505,21.28712871,4.95049505,1.683168317,0.8,24.7135,1.520950434,2.034677778,41.18608071,Boris,Outer,524340.2647,162489.4105
536,Sutton   Nonsuch,00BFGJ,E05000561,10641,1974,6831,1836,18.55088807,64.19509445,17.25401748,40.8,42.0,1.9,5605.263158,15.3,15.7,3.6,52.0,81.57,87.45,105.3,0.752814873,5582,72.29633467,2600,0.377777778,8.888888889,330455.0459,109,4061,9.1,44.4,27.5,18.9,85.5,3.6,10.0,0.075180904,0.253735551,3.310446297,78.32270721,18.58754291, , ,1.567164179,1.268656716,1.710746713,4.130412565,14.81481481,7.818930041,1.544593921,29.13907285,603.0,0.0,379.8434211,0.5595053,18.6,27.1,50.66037736,10.37735849,1.037735849,20.47169811,7.169811321,1.320754717,0.3,10.4038,1.433981066,2.20322988,37.79752938,Boris,Outer,523125.6607,164979.418
537,Sutton   St. Helier,00BFGK,E05000562,11949,2888,7789,1272,24.16938656,65.18537116,10.64524228,34.5,34.0,1.5,7300.0,25.5,22.6,8.1,86.25,75.75,81.09,149.6,0.54282119,5536,65.56134533,4000,0.588905109,16.05839416,209020.122,82,4625,3.5,14.3,59.8,22.4,45.6,40.5,11.8,0.610929785,0.200853628,13.20468343,86.62185603,0.216825672,15,35,5.797101449,7.391304348,7.482645745,10.67801048,37.21264368,29.45402299,7.595212187,45.65587734,259.0,100.0,325.6480769,1.499521277,27.3,17.7,75.52511416,18.53881279,2.557077626,23.10502283,17.16894977,2.831050228,0.4,26.0124,0.953210011,2.822353824,22.02690309,Boris,Outer,526515.2696,166362.6677
538,Sutton   Stonecot,00BFGL,E05000563,10712,2205,6956,1551,20.58439134,64.93651979,14.47908887,38.9,40.0,2.0,5350.0,20.9,18.1,5.2,45.58139535,78.68,85.15,95.2,0.456370938,5595,71.887447,2700,0.393478261,10.14492754,263694.0708,113,3988,2.9,50.1,35.3,11.8,85.5,3.7,9.7,0.130694548,0.261389096,2.382743918,97.11562578,0.576874843,15,10,2.262773723,1.678832117,2.807785219,7.488863945,17.57009346,10.28037383,2.36882323,29.61373391,561.0,0.0,365.5088435,0.572466422,20.5,22.5,52.61682243,8.598130841,1.214953271,24.48598131,5.981308411,1.869158879,0.5,21.497,1.42740703,2.392194375,31.99055629,Boris,Outer,524671.3592,165938.4646
539,Sutton   Sutton Central,00BFGM,E05000564,10993,2062,7664,1267,18.75739107,69.7170927,11.52551624,36.5,35.0,1.3,8730.769231,24.1,26.9,9.7,78.54545455,75.72,80.29,231.3,2.568271682,5904,71.33881102,18200,2.308227848,25.3164557,199195.6763,139,5335,2.4,14.0,23.2,60.3,51.0,22.7,23.1,1.118893842,0.363867916,18.41317365,81.43712575,0.542664671,10,50,4.303797468,4.936708861,5.623089849,7.320264813,32.65306122,24.28571429,4.728041515,46.68246445,364.0,42.85714286,354.141573,1.228385417,18.6,31.2,179.9115044,42.12389381,3.982300885,88.40707965,16.54867257,14.24778761,0.9,12.8639,0.812800308,4.100147568,30.23112481,Boris,Outer,526068.6986,164466.2374
540,Sutton   Sutton North,00BFGN,E05000565,10355,2085,6561,1709,20.13520039,63.36069532,16.5041043,39.4,39.0,1.9,5315.789474,21.9,21.1,6.1,60.46511628,76.92,82.86,125.3,0.595913734,5099,68.98931132,1400,0.219242424,14.39393939,238346.513,115,4222,6.6,36.9,28.3,28.1,74.2,11.1,13.6,0.164171898,0.289715113,8.985507246,87.19806763,3.888888889, ,30,2.348484848,2.575757576,3.764012189,8.253688482,25.10822511,17.31601732,3.818443804,43.61702128,464.0,16.66666667,357.9180328,0.893048128,21.6,25.7,49.85074627,11.64179104,1.890547264,16.8159204,7.562189055,1.990049751,0.6,27.0188,1.140970221,3.033242665,33.61385337,Boris,Outer,525845.5752,165540.7804
541,Sutton   Sutton South,00BFGP,E05000566,9599,1428,6492,1679,14.87654964,67.632045,17.49140535,40.8,38.0,1.3,7307.692308,24.4,29.4,9.7,85.77777778,77.15,81.67,147.4,0.559975734,5188,72.53914989,2900,0.433233083,24.06015038,208295.6384,177,5077,7.7,7.8,7.0,77.5,54.4,11.9,32.8,0.072924263,0.385456818,10.70926261,78.28008841,11.53305204, ,25,3.383458647,3.609022556,3.523319764,4.042924104,23.33333333,14.66666667,2.386340259,37.6,506.0,33.33333333,377.9766667,0.878468208,15.7,41.6,43.47368421,7.789473684,0.736842105,14.52631579,5.789473684,1.894736842,0.5,8.14111,0.888088871,3.221062263,34.42415476,Boris,Outer,526323.1142,163451.5034
542,Sutton   Sutton West,00BFGQ,E05000567,10536,1904,7166,1466,18.07137434,68.01442673,13.91419894,38.4,37.0,1.8,5805.555556,23.0,25.1,7.8,63.2,79.35,82.16,100.7,0.414746544,5841,74.04918864,1800,0.233466667,18.0,268676.1739,161,4817,8.5,23.8,15.9,51.9,68.3,3.9,26.8,0.161351557,0.275246773,11.48365465,78.62531433,9.974853311,10,15,2.133333333,1.866666667,2.529241974,4.088610175,18.36228288,10.91811414,2.222222222,33.17757009,564.0,0.0,374.5072289,0.731858407,13.5,38.6,39.90384615,7.596153846,1.634615385,15.76923077,5.288461538,1.923076923,0.6,23.1222,1.076709402,3.217628856,33.91221977,Boris,Outer,525048.5536,164113.1323
543,Sutton   The Wrythe,00BFGR,E05000568,10163,1984,6826,1353,19.52179475,67.16520712,13.31299813,37.7,37.0,1.5,7133.333333,16.9,15.3,3.7,63.84615385,77.54,83.86,94.0,0.294811321,5417,71.71035213,1700,0.237793103,6.206896552,217975.6944,144,4231,2.3,33.1,30.7,34.0,71.5,14.7,12.7,0.226311129,0.236150743,6.939704209,92.96928328,0.068259386,15,20,2.551724138,2.896551724,4.125229434,11.81671196,24.89959839,18.27309237,3.299067655,36.49122807,428.0,42.85714286,348.1437956,1.026547988,22.2,23.2,56.24413146,11.45539906,0.938967136,18.30985915,7.79342723,2.159624413,1.4,18.0031,1.147023667,2.465470645,29.7219559,Boris,Outer,527538.3202,165525.2268
544,Sutton   Wallington North,00BFGS,E05000569,10650,2121,7199,1330,19.91549296,67.59624413,12.48826291,37.7,37.0,1.6,6468.75,19.6,16.6,4.4,77.5,78.86,81.29,103.8,0.643261832,5663,71.57482305,3400,0.46993007,6.993006993,238535.4545,176,4749,4.5,34.3,18.4,42.7,67.9,12.9,17.4,0.460093897,0.291079812,8.958517211,86.27537511,4.854368932, ,25,3.636363636,3.636363636,3.304572806,6.105425682,25.36082474,16.08247423,3.389455029,39.16913947,475.0,14.28571429,372.7491667,0.662988506,16.4,30.3,60.0,13.04347826,2.125603865,18.35748792,8.309178744,2.415458937,0.1,19.9204,1.132476739,3.284718666,38.16395456,Boris,Outer,528820.7603,164751.5064
545,Sutton   Wallington South,00BFGT,E05000570,10200,1857,6583,1760,18.20588235,64.53921569,17.25490196,40.4,40.0,1.7,5882.352941,21.3,18.5,4.3,53.02325581,78.0,81.73,149.6,0.54238759,5046,68.71850742,3300,0.502615385,11.53846154,258375.6198,121,4626,11.9,20.8,13.2,54.2,63.7,16.4,18.6,0.137254902,0.411764706,10.44644821,68.77061799,20.82691885,10,30,4.153846154,4.615384615,4.2300113,6.586163985,24.94279176,18.53546911,4.057971014,46.70658683,409.0,66.66666667,381.8367521,0.881301558,18.7,32.0,71.95979899,14.27135678,1.809045226,29.24623116,9.547738693,2.613065327,0.5,9.4933,1.075362319,3.170867599,37.29923593,Boris,Outer,528922.8461,163343.4878
546,Sutton   Wandle Valley,00BFGU,E05000571,11630,2799,7780,1051,24.06706793,66.89595873,9.036973345,33.7,33.0,2.1,5404.761905,24.8,19.8,5.7,79.25925926,77.3,84.58,121.1,0.481585103,5700,68.46024502,2400,0.326486486,12.83783784,196009.268,97,4802,3.6,14.0,48.8,33.7,50.1,33.6,14.3,0.507308684,0.326741187,13.65620453,86.13593847,0.270214093,20,35,4.966442953,6.77852349,6.607147503,11.00756654,37.7675841,28.89908257,7.209302326,46.16639478,274.0,85.71428571,339.8380645,1.488129705,23.7,21.5,69.15555556,16.0,2.044444444,20.88888889,14.31111111,3.733333333,0.9,40.5182,0.999154334,2.20426867,26.64458829,Boris,Outer,527772.9355,166698.5662
547,Sutton   Worcester Park,00BFGW,E05000572,11655,2423,7675,1557,20.78936079,65.85156585,13.35907336,37.3,36.0,2.0,5800.0,20.0,21.5,6.1,82.96296296,81.14,83.68,89.0,0.465831276,6216,72.71025851,2800,0.367225806,14.19354839,298819.6615,192,4751,7.1,35.8,35.5,21.5,76.6,6.4,15.7,0.265980266,0.257400257,1.90194421,88.8419273,9.319526627,15,15,1.895424837,2.091503268,2.431572517,3.716918958,22.79411765,14.33823529,3.319768687,35.97359736,579.0,0.0,374.7982759,0.811544012,17.2,30.8,42.32758621,9.224137931,0.862068966,16.20689655,6.896551724,1.206896552,0.2,22.2769,1.226172628,2.278601219,33.76478775,Boris,Outer,523121.7369,166050.5338
548,Tower Hamlets   Bethnal Green North,00BGFW,E05000573,13683,2539,10186,958,18.55587225,74.44273917,7.001388584,31.9,29.0,0.8,16312.5,49.4,38.7,15.0,54.52054795,73.64,78.6,157.1,0.881191127,6629,62.1974104,4900,0.53989011,74.72527473,332806.4416,154,5450,0.9,1.8,7.6,89.6,21.6,46.0,29.8,0.635825477,0.380033618,29.08182155,70.71455017,2.276934469, ,35,6.0,7.72972973,12.82245139,20.14004798,29.37293729,45.37953795,7.786656755,65.53672316,67.0,100.0,336.1875,1.191169154,22.1,40.2,123.6434109,23.17829457,6.666666667,49.06976744,11.1627907,7.519379845,1.0,6.09831,0.358483553,6.07012433,34.44947569,Ken,Inner,534837.5481,183157.1842
549,Tower Hamlets   Bethnal Green South,00BGFX,E05000574,14166,2792,10619,755,19.70916278,74.96117464,5.329662572,29.8,27.0,0.9,17888.88889,64.3,45.5,23.1,51.04166667,77.13,87.31,161.0,1.218892839,5978,54.12893879,3400,0.301946903,90.26548673,267925.427,89,5417,1.0,2.0,7.9,89.0,21.2,44.9,31.5,0.388253565,0.472963434,31.0565635,67.6449662,1.760939168,10,60,5.087719298,6.403508772,10.90898642,19.36442559,25.84434655,45.37444934,8.619374523,71.08433735,36.0,100.0,326.6615894,1.275028185,21.4,35.5,128.5266458,27.39811912,7.711598746,47.77429467,10.72100313,17.17868339,1.4,16.8688,0.337147216,6.695492693,35.62665384,Ken,Inner,534921.7578,182289.7044
550,Tower Hamlets   Blackwall and Cubitt Town,00BGFY,E05000575,19461,3465,15083,913,17.80484045,77.5037254,4.69143415,30.6,29.0,3.0,5783.333333,50.4,48.6,21.9,75.11111111,77.39,83.37,99.3,0.547445255,10762,68.95623759,21300,1.694126984,103.968254,375550.2489,454,9389,0.8,3.0,7.9,88.0,26.0,28.6,41.4,1.20240481,0.601202405,10.62729036,72.25695193,17.74089243,15,55,4.022556391,5.977443609,6.710550816,12.27823177,36.68478261,42.25543478,6.33233187,58.21371611,243.0,75.0,320.2636364,1.363191244,14.6,50.8,90.0,17.93939394,3.151515152,31.51515152,8.727272727,8.848484848,0.9,42.1695,0.505893229,3.584502998,27.80373832,Ken,Inner,538366.7376,179830.7949
551,Tower Hamlets   Bow East,00BGFZ,E05000576,14781,2581,11113,1087,17.46160612,75.1843583,7.354035586,32.2,29.0,1.9,6657.894737,39.9,30.9,10.9,64.16666667,71.26,80.81,120.8,0.856813314,7724,66.36308961,5800,0.651955307,52.51396648,288408.8274,197,6901,1.6,2.9,13.8,81.8,22.6,42.8,30.3,1.474866383,0.439753738,20.25149876,79.07588829,1.696154409,10,40,6.5,8.666666667,10.49221719,14.57122208,43.79310345,50.0,7.581501137,58.70307167,78.0,100.0,330.7912,1.595861601,21.4,42.0,113.12,22.88,5.04,37.84,10.88,14.16,0.9,30.3393,0.435481425,3.587881458,31.52886445,Ken,Inner,536963.6688,183844.4343
552,Tower Hamlets   Bow West,00BGGA,E05000577,12939,2492,9440,1007,19.25960275,72.95772471,7.78267254,32.5,29.0,1.3,8846.153846,40.7,32.0,11.3,60.29850746,74.01,80.87,121.6,0.603907638,6364,63.69732759,2500,0.304790419,64.07185629,413517.5115,131,5127,1.2,3.2,27.2,68.2,31.5,39.0,26.7,0.595100085,0.463714352,16.25984252,76.41732283,7.401574803, ,25,5.384615385,6.686390533,8.776633254,16.68869652,33.88278388,38.46153846,6.907566381,54.35294118,122.0,100.0,335.4297619,1.41531854,20.3,43.6,145.2631579,20.26315789,8.771929825,43.50877193,12.28070175,34.29824561,2.0,43.0137,0.496107007,5.491650545,38.3062971,Ken,Inner,536263.7582,183208.1682
553,Tower Hamlets   Bromley by Bow,00BGGB,E05000578,14480,3871,9776,833,26.73342541,67.51381215,5.752762431,29.0,27.0,1.1,14545.45455,70.4,43.5,22.0,80.76923077,76.34,83.05,119.9,0.462895993,5433,53.17607908,3700,0.40172043,68.27956989,274790.6167,287,5257,1.1,2.8,7.8,88.2,15.6,55.9,24.2,1.070441989,0.517955801,40.46121593,59.0051458,1.372212693,10,60,5.68627451,7.794117647,15.04523399,27.01860825,32.23234624,46.69703872,12.41017673,64.3115942,12.0,100.0,340.2777174,1.160693153,25.5,27.9,78.04054054,21.21621622,4.594594595,21.01351351,9.932432432,5.472972973,1.5,11.6567,0.423188969,4.441581826,35.44637507,Ken,Inner,537709.7112,182369.6959
554,Tower Hamlets   East India and Lansbury,00BGGC,E05000579,14859,4126,9694,1039,27.76768289,65.23992193,6.992395181,30.3,28.0,1.2,11375.0,63.7,39.5,18.6,102.2222222,74.88,81.82,145.5,1.046153846,5182,50.90873367,2700,0.327361963,69.32515337,237548.9216,51,5422,2.3,3.0,11.4,83.3,18.2,57.5,20.1,1.110438118,0.370146039,31.15192582,67.02924394,1.426533524,10,70,8.333333333,11.36904762,19.53461074,36.88720696,37.2045221,50.05138746,13.70983077,64.16791604,2.0,100.0,325.4334884,1.149962264,30.7,23.4,107.3684211,29.77443609,6.315789474,33.98496241,11.72932331,5.789473684,3.5,12.5078,0.444190911,3.403282592,32.75563258,Ken,Inner,538149.1477,181470.4833
555,Tower Hamlets   Limehouse,00BGGD,E05000580,15986,3561,11433,992,22.27574127,71.51882898,6.205429751,30.9,29.0,1.1,14000.0,56.8,43.8,19.7,70.34482759,77.02,79.27,127.6,0.88279234,7378,61.79747047,3900,0.377681159,81.64251208,321017.6066,272,6599,1.0,1.7,6.3,91.0,26.0,41.2,29.8,0.775678719,0.431627674,29.04377523,61.50263893,10.61782055,10,60,5.619047619,8.047619048,11.68042829,22.69967022,32.8320802,42.98245614,9.291338583,61.80555556,43.0,100.0,324.2169591,1.139185875,21.9,37.4,84.22442244,21.25412541,4.422442244,22.77227723,12.21122112,8.514851485,2.1,23.357,0.474488189,4.561959281,34.61666114,Ken,Inner,537093.2756,181023.0247
556,Tower Hamlets   Mile End and Globe Town,00BGGE,E05000581,15190,2870,11320,1000,18.89400922,74.52271231,6.583278473,30.1,27.0,0.9,19055.55556,52.6,40.6,16.4,35.19379845,76.51,86.37,143.7,0.810099947,6333,53.71045713,7500,0.607822581,70.56451613,294221.2021,94,5431,1.1,1.8,11.9,85.2,25.0,46.0,25.8,0.763660303,0.355497038,33.05932809,64.83202287,2.055039314,10,35,3.935742972,5.180722892,8.845745291,11.41724472,30.72196621,45.00768049,8.127802691,61.48148148,154.0,100.0,342.6365079,1.116331225,19.5,34.2,85.04398827,20.41055718,6.392961877,28.03519062,8.152492669,8.387096774,0.6,12.4268,0.388452915,5.616800188,35.77139153,Ken,Inner,535721.6128,182619.8363
