,WardName,WardCode,WardCodeN,Pop2011,Children,WorkingAge,Older,PerChildren,PerWorking,PerOlder,MeanAge,MedianAge,AreaSqK,PopDensity,PerBAME,PerForeign,PerNoEngl,Fertility,MaleLiEx,FemLiEx,AmbPer1000,AmbAlco,Employed,EmpRate,NoofJobs,EmpPerHead,NHSNFore,HousePri,PropSold,HousePla,detached,semidet,terraced,flatmaisap,owned,socialrent,privrent,pershared,perfree,Ctab,Ctcde,CTfgh,mortgage,landlord,incapacity,incomesup,jobseekers,jsa1624,lonepar,outofwork,noadults,lonenot,id2010,Perid2010,GCSE,absence,noqual,level4,crime,violence,robbery,theft,criminal,drugs,fires,openspace,cars,ptaccess,elections,Candidate,InnerOuter,x,y
0,City of London,00AA,,7375,620,5720,1035,8.406779661,77.55932203,14.03389831,41.4,39.0,3.2,3125.0,21.4,36.7,11.9,21.78571429,84.13,89.1,826.5789474,11.16193194,4747,75.26557793,382700,50.02183007,105.2287582,533879.8675,166,5530,0.4,0.2,1.4,98.0,42.3,16.5,35.9,0.296465222,4.994298746,4.1,63.1,32.8,0,15,1.558441558,1.168831169,2.42920637,3.295127412,16.0,18.0,0.86659065,24.17582418,529.75,20.0,363.0909091,0.436792453,6.7,68.4,611.9,59.4017094,3.931623932,,23.43280593,70.69897857,0.8,18.6425,0.385860889,7.723401061,38.75159778,Boris,Inner,532479.7201,181272.0
1,Barking and Dagenham   Abbey,00ABFX,E05000026,12786,3125,9021,640,24.44079462,70.55373064,5.005474738,29.4,28.0,1.3,10730.76923,71.9,57.3,25.7,103.6923077,82.92,87.18,179.8,1.313352416,5489,58.35016477,8200,0.88826087,108.6956522,168649.9074,54,4753,3.9,7.2,22.6,66.3,32.7,26.7,38.6,0.398873768,0.305021117,45.77157803,56.47340889,0.108979948,20,115,3.244680851,5.585106383,8.737771086,17.71415592,41.22257053,35.26645768,8.748906387,55.31062124,166.0,85.71428571,335.3592593,1.477417262,16.4,34.5,172.5,40.51470588,9.411764706,71.76470588,14.85294118,14.48529412,0.6,19.6072,0.54768154,5.98735589,25.68894145,Ken,Outer,544218.2356,184361.398
2,Barking and Dagenham   Alibon,00ABFY,E05000027,10385,2742,6565,1078,26.40346654,63.21617718,10.38035628,33.5,32.0,1.4,7357.142857,29.9,24.7,7.9,103.7209302,76.27,80.9,136.2,0.399385561,4214,59.26863572,800,0.138852459,31.14754098,162670.942,69,4045,3.8,18.2,63.8,14.2,45.1,36.8,15.9,0.558497833,0.28887819,9.294949988,90.7538424,0.073188583,15,60,6.475409836,9.754098361,10.20254184,20.28531814,47.77070064,37.89808917,12.44019139,60.99518459,124.0,100.0,333.1115702,1.454398148,31.2,16.7,93.17073171,23.70731707,5.268292683,25.95121951,12.19512195,4.390243902,0.3,22.4129,0.815159909,3.275530044,20.34792528,Ken,Outer,549061.5648,185152.6226
3,Barking and Dagenham   Becontree,00ABFZ,E05000028,11545,2937,7514,1094,25.43958424,65.08445214,9.475963621,33.1,32.0,1.3,9807.692308,41.2,30.1,10.5,67.38461538,75.26,80.99,131.1,0.419401896,4674,57.89669268,1200,0.140963855,38.55421687,175498.2743,113,4378,4.2,24.7,52.0,19.1,46.7,29.4,20.1,0.814205284,0.57167605,11.9434629,90.7656066,0.094228504,30,35,5.207100592,6.982248521,10.23438795,12.74153548,45.14705882,36.32352941,10.73182137,51.51057402,185.0,100.0,327.0138554,1.509858388,28.0,20.6,91.68,19.12,4.8,28.08,11.04,4.64,0.8,3.03888,0.870236147,2.848544132,22.53821097,Ken,Outer,546997.5893,186088.9148
4,Barking and Dagenham   Chadwell Heath,00ABGA,E05000029,10021,2456,6001,1564,24.50853208,59.88424309,15.60722483,36.6,34.0,3.4,2911.764706,37.9,24.8,6.5,76.66666667,78.9,82.71,145.4,0.576631259,3916,58.675457,1700,0.29559322,26.27118644,196371.8293,82,4062,3.8,29.6,32.2,34.5,54.0,32.0,12.4,0.209559924,0.44905698,33.28380386,66.36948985,0.44576523,20,60,5.593220339,7.372881356,8.964560242,19.28640295,44.60694698,35.46617916,10.14713343,55.23978686,96.0,100.0,339.7823077,1.538590604,29.1,19.5,100.4081633,19.18367347,6.836734694,35.0,11.63265306,2.653061224,1.1,56.4073,0.918061898,2.27230196,25.31881358,Ken,Outer,548358.8573,189491.71
5,Barking and Dagenham   Eastbrook,00ABGB,E05000030,10506,2232,6731,1543,21.24500286,64.06815153,14.68684561,37.5,37.0,3.5,3114.285714,24.8,19.0,4.5,65.90909091,76.64,79.02,137.4,0.33020066,4686,62.84871245,4000,0.572056738,18.43971631,197375.3247,77,3977,3.2,32.6,45.5,18.4,67.6,20.0,11.2,0.190367409,0.276032743,14.81573705,84.93525896,0.547808765,10,35,3.687943262,4.822695035,8.781001251,23.44894131,35.50295858,27.21893491,6.663236429,48.69791667,288.0,100.0,329.5134752,1.055846917,29.9,18.5,72.35023041,15.48387097,2.949308756,23.96313364,7.834101382,3.963133641,1.0,51.1165,1.060457937,2.308725581,24.1214693,Boris,Outer,550788.7056,186098.255
6,Barking and Dagenham   Eastbury,00ABGC,E05000031,11624,3129,7387,1108,26.9184446,63.54955265,9.532002753,32.9,31.0,1.4,7785.714286,41.7,32.2,11.9,90.90909091,79.86,85.23,118.9,0.526177322,4620,58.34069958,1000,0.14676259,48.92086331,179358.375,72,4321,5.0,21.0,52.5,21.5,44.0,37.4,17.3,0.309704061,0.206469374,18.72261932,81.41572516,0.046114826,25,65,5.539568345,7.769784173,10.19981548,23.21723663,45.63662375,36.76680973,11.11891386,52.45901639,135.0,100.0,349.0125984,1.399894292,28.9,20.0,87.55760369,20.73732719,4.239631336,28.38709677,10.69124424,5.34562212,1.2,18.1054,0.782771536,2.870088373,21.51487593,Ken,Outer,546140.2395,183987.5651
7,Barking and Dagenham   Gascoigne,00ABGD,E05000032,12452,3922,7774,756,31.49694828,62.43173787,6.071313845,29.0,28.0,1.1,10954.54545,60.4,48.2,18.7,130.1960784,73.35,83.55,147.2,0.907555931,4433,54.33929885,2900,0.42173913,69.56521739,152625.0,48,4711,2.2,6.8,19.5,71.4,23.7,54.0,18.3,1.06810151,0.417603598,60.72263549,39.21360255,0.08501594,15,140,6.666666667,9.931972789,12.1872664,18.34826215,49.87562189,42.28855721,14.74703983,57.17539863,37.0,100.0,330.7742424,1.370996348,25.5,25.2,135.154185,26.43171806,5.550660793,35.68281938,11.71806167,12.42290749,1.4,20.3279,0.541011841,4.03245566,25.59209636,Ken,Outer,544595.7531,183561.6805
8,Barking and Dagenham   Goresbrook,00ABGE,E05000033,11267,2993,7144,1130,26.56430283,63.40640809,10.02928907,33.7,33.0,1.3,8846.153846,33.3,26.8,7.7,97.44680851,79.33,81.41,139.9,0.177981185,4596,60.14919513,1300,0.179863014,27.39726027,164310.6923,65,4296,4.8,17.4,62.5,15.3,43.1,37.3,15.8,1.05618177,0.363894559,10.63484708,89.29564411,0.092678406,20,45,5.479452055,7.671232877,9.579700358,18.67017714,44.70938897,34.42622951,11.11111111,57.33944954,142.0,100.0,331.8974843,1.411272321,30.0,18.8,82.88209607,21.92139738,5.589519651,25.6768559,11.1790393,2.969432314,1.6,17.1153,0.836768538,2.557064333,20.50673001,Ken,Outer,548211.3194,184071.8051
9,Barking and Dagenham   Heath,00ABGF,E05000034,10786,2834,6582,1370,26.27480067,61.02354905,12.70165029,34.5,32.0,2.0,5150.0,32.3,24.1,6.2,83.40425532,75.13,79.27,198.6,1.01152009,4122,57.75535939,2500,0.417666667,30.0,159452.6364,55,4418,2.9,18.9,41.9,36.4,41.6,45.3,11.3,0.315223438,0.389393658,37.31481481,64.65277778,0.046296296,15,80,6.611570248,10.90909091,12.24198565,19.98803476,52.03915171,41.43556281,11.74426685,55.41490858,91.0,100.0,326.0090226,1.240289855,32.1,17.6,109.4117647,23.23529412,6.862745098,39.50980392,12.74509804,4.803921569,1.4,38.4054,0.73917072,2.566295169,22.24054983,Ken,Outer,549443.3992,186491.6598
10,Barking and Dagenham   Longbridge,00ABGG,E05000035,11478,2636,7505,1337,22.96567346,65.38595574,11.6483708,34.9,32.0,1.6,6250.0,57.4,33.3,11.9,98.42105263,76.46,82.35,115.4,0.670118794,4979,61.19714848,1700,0.248120301,39.84962406,263547.8617,94,3788,3.9,23.1,50.4,22.5,70.0,13.1,15.3,0.121972469,0.409479003,11.93286126,80.3829006,7.710464201,15,20,3.007518797,3.308270677,5.646686497,16.54246549,22.97734628,18.28478964,4.919354839,44.53125,375.0,66.66666667,352.2083871,0.944707924,22.7,25.0,91.91919192,18.68686869,5.252525253,33.13131313,8.282828283,5.252525253,0.5,30.3292,1.133870968,3.137026236,30.60747664,Ken,Outer,545482.291,184854.9817
11,Barking and Dagenham   Mayesbrook,00ABGH,E05000036,10342,2803,6427,1112,27.10307484,62.14465287,10.75227229,33.4,32.0,1.9,5289.473684,31.2,25.0,8.2,104.5,76.61,82.16,149.1,0.685999376,4044,57.87063537,800,0.136721311,33.60655738,172231.9492,59,3987,4.8,21.8,58.0,15.5,43.8,38.6,15.6,0.290079288,0.454457552,12.5,88.125,0.1,25,50,6.639344262,9.180327869,9.646708769,19.99429873,44.82758621,38.25944171,11.03763988,54.20875421,105.0,100.0,339.2007092,1.302548167,32.1,16.2,83.4,20.8,4.8,25.4,10.1,3.8,1.4,45.8051,0.816632757,2.619647047,20.53298384,Ken,Outer,547051.1721,184922.1665
12,Barking and Dagenham   Parsloes,00ABGJ,E05000037,9839,2580,6159,1100,26.22217705,62.59782498,11.17999797,34.0,33.0,1.2,8000.0,30.9,23.3,6.6,94.05405405,76.79,81.77,138.7,0.576631259,3840,57.15986901,600,0.111327434,31.85840708,166226.8065,62,3844,4.1,19.8,63.4,12.6,47.2,36.4,14.1,0.548836264,0.335399939,12.49664069,87.50335931,0.053748992,15,35,7.168141593,9.557522124,9.462448025,20.45730086,45.1048951,36.01398601,11.76006314,58.39285714,129.0,100.0,332.0710526,1.342580214,31.8,16.0,79.16230366,20.94240838,4.607329843,22.72251309,12.35602094,3.246073298,0.9,17.4591,0.834517232,2.72199895,19.3047889,Ken,Outer,548125.0474,185640.9439
13,Barking and Dagenham   River,00ABGK,E05000038,10923,2933,6885,1105,26.85159755,63.03213403,10.11626842,33.5,32.0,3.6,3138.888889,38.4,30.9,9.6,80.43478261,73.16,77.89,138.1,0.377263581,4491,60.39537386,6200,0.856275862,31.72413793,162088.1373,51,4097,4.7,19.0,61.9,14.3,51.9,25.7,20.6,0.29295981,0.347889774,10.44850915,89.77699825,0.075169131,35,45,4.662162162,6.621621622,8.553442097,17.36938763,46.7094703,33.70786517,10.20408163,51.17449664,174.0,100.0,337.1648,1.476708259,29.9,19.5,92.760181,23.25791855,6.877828054,27.14932127,8.959276018,5.339366516,0.4,20.8098,0.834971025,3.036806235,22.37675571,Ken,Outer,549478.9664,182985.1929
14,Barking and Dagenham   Thames,00ABGL,E05000039,10728,3248,6742,738,30.2759135,62.84489187,6.879194631,30.0,29.0,7.9,1462.025316,54.9,37.2,11.2,115.1020408,79.23,84.15,156.1,0.494266509,4133,58.53278572,9300,1.518373984,38.21138211,179064.1205,83,4013,3.7,15.7,35.3,45.2,35.4,44.4,17.5,0.680462342,0.270320656,37.28684144,62.73861033,0.025451769,30,125,4.256756757,6.959459459,9.239625952,13.13999558,48.01178203,36.81885125,12.92035398,57.33333333,83.0,100.0,328.8460784,1.101642229,24.1,24.4,143.7755102,24.69387755,6.326530612,61.02040816,17.04081633,4.081632653,2.8,44.4494,0.720859671,2.379433905,22.1352536,Ken,Outer,547048.4076,182800.0916
15,Barking and Dagenham   Valence,00ABGM,E05000040,9867,2535,6138,1194,25.6916996,62.20735786,12.10094254,34.7,33.0,1.3,7115.384615,31.5,23.3,7.1,101.0526316,72.58,77.98,151.8,0.702290076,3949,58.80863738,1900,0.330714286,31.25,168490.1389,72,3917,4.3,21.5,60.9,13.3,47.3,37.4,13.8,0.22296544,0.364852539,12.06939281,87.90582404,0.049566295,10,50,6.548672566,9.026548673,9.534852851,18.56230446,42.61744966,35.90604027,10.06305833,49.81412639,123.0,100.0,339.7527559,1.532351097,32.1,17.8,88.58695652,18.69565217,5.108695652,27.2826087,11.73913043,2.608695652,0.8,16.0319,0.846295323,3.178772197,20.25824964,Ken,Outer,548034.7403,186794.5431
16,Barking and Dagenham   Village,00ABGN,E05000041,10787,2692,6874,1221,24.95596551,63.72485399,11.3191805,34.3,33.0,2.1,5095.238095,34.8,26.0,7.5,99.13043478,76.03,80.87,148.1,0.615556799,4322,57.90460879,900,0.145271318,27.13178295,152735.4138,58,4508,4.6,20.3,26.2,48.9,40.3,39.9,17.4,0.630388431,0.361546306,52.96329058,48.71738169,0.17691287,15,90,6.046511628,9.379844961,11.86847748,17.0862362,50.32467532,38.47402597,10.55844449,53.77906977,84.0,100.0,316.9772358,1.682974684,30.3,17.9,102.2641509,21.60377358,5.094339623,30.66037736,11.79245283,5.943396226,1.4,47.9909,0.754465295,2.810756104,23.69668246,Ken,Outer,550331.2168,184463.876
17,Barking and Dagenham   Whalebone,00ABGP,E05000042,10575,2501,6843,1231,23.6501182,64.70921986,11.64066194,35.1,34.0,1.6,6437.5,44.0,29.2,8.4,84.0,81.03,84.08,126.8,0.393494229,4709,62.99665552,3500,0.510364964,32.84671533,187991.3978,93,4091,4.1,18.4,49.7,27.8,63.7,12.3,22.3,0.444444444,0.255319149,23.31937946,76.68062054,0.320118197,15,45,3.405797101,4.782608696,6.851358701,13.99870229,38.40445269,29.3135436,7.579954671,47.25738397,290.0,100.0,344.6807018,1.295822281,24.0,22.4,90.73891626,15.66502463,3.15270936,31.42857143,8.669950739,3.743842365,0.9,16.4091,0.971543692,2.866389931,25.88459445,Ken,Outer,548566.5771,187605.3514
18,Barnet   Brunswick Park,00ACFX,E05000043,16394,3381,10650,2363,20.6233988,64.96279127,14.41380993,38.4,39.0,3.2,5203.125,31.6,30.9,10.2,55.16129032,83.75,83.21,100.6,0.235525025,7871,66.22633572,4200,0.405533981,15.04854369,363942.6084,143,6186,6.0,47.6,27.7,18.8,75.4,9.0,13.2,0.542881542,0.329388801,2.706248975,74.24963097,22.78169592,15,35,3.397129187,3.588516746,3.970750171,12.23838846,23.47715736,18.14720812,4.291137151,43.58974359,507.0,20.0,366.5830097,0.587897804,17.4,34.4,55.90214067,7.339449541,2.018348624,17.79816514,5.749235474,1.834862385,0.1,28.0341,1.269351378,2.810001835,35.51450098,Boris,Outer,528502.7023,193825.6759
19,Barnet   Burnt Oak,00ACFY,E05000044,18217,4478,12053,1686,24.58143492,66.16347368,9.255091398,33.6,32.0,2.1,8333.333333,53.5,47.1,19.3,94.32098765,74.7,82.12,185.6,0.518806744,7828,60.63986366,2300,0.20619469,52.21238938,232424.6204,108,6511,3.8,19.8,38.3,38.1,38.0,35.5,22.1,1.026513696,0.505022781,9.340148699,90.44299876,1.425030979,20,90,5.565217391,7.173913043,6.894833623,10.99339888,41.98473282,34.82824427,9.777847309,48.01762115,261.0,100.0,342.8168627,1.098793042,23.6,24.7,67.79069767,17.79069767,5.406976744,18.77906977,9.88372093,3.837209302,0.7,20.1802,0.816489362,3.593481852,28.624052,Ken,Outer,520628.0564,190842.4731
20,Barnet   Childs Hill,00ACFZ,E05000045,20049,3844,13709,2496,19.17302609,68.37747519,12.44949873,36.0,32.0,3.1,6080.645161,38.9,51.2,23.0,68.95833333,77.41,82.01,135.6,1.160034926,9699,65.31313131,6000,0.486938776,83.67346939,829235.8675,151,8045,9.3,24.5,10.2,56.0,45.0,12.5,39.7,0.264352337,0.82298369,12.09463052,56.93779904,33.14726209,10,65,3.658536585,4.634146341,6.219560997,8.698217701,26.15193026,23.66127024,5.477491543,50.62166963,415.0,50.0,369.4256098,1.014362057,13.7,43.7,107.0588235,17.21925134,4.759358289,42.51336898,8.556149733,4.278074866,0.4,15.1369,0.828779599,4.481786135,35.91102796,Boris,Outer,524674.2165,186661.0355
21,Barnet   Colindale,00ACGA,E05000046,17098,3801,11861,1436,22.23067025,69.37068663,8.398643116,32.8,31.0,2.6,7634.615385,59.9,52.7,23.2,68.60215054,76.38,84.63,127.4,0.406895813,7506,59.07910272,9100,0.740162602,55.28455285,266551.1687,403,6460,2.6,20.8,16.7,60.0,36.3,34.3,26.0,0.772020119,0.485436893,20.27756361,77.71781033,1.773323053,20,110,3.870967742,5.376344086,4.763746991,9.807028142,42.77389277,35.66433566,8.457869634,49.09344491,252.0,77.77777778,341.899422,1.292735043,18.0,30.8,68.84507042,15.26760563,3.436619718,22.1971831,7.887323944,5.746478873,0.7,20.7672,0.812241653,2.521937105,29.92912371,Ken,Outer,521622.3764,189812.8347
22,Barnet   Coppetts,00ACGB,E05000047,17250,3400,12075,1775,19.71014493,70.0,10.28985507,35.9,34.0,2.7,5833.333333,35.0,36.1,13.6,72.5,76.69,81.11,98.5,0.674359359,8842,67.83275796,3400,0.305803571,28.57142857,341356.7705,183,7136,4.6,22.1,20.3,53.0,56.8,13.4,26.7,0.237681159,1.008695652,8.429394813,71.10951009,20.76368876,15,55,4.177777778,4.888888889,4.916749549,9.515934608,31.48148148,24.33862434,5.857800806,49.31087289,429.0,40.0,368.2994286,0.92642015,15.0,40.6,85.44871795,14.80769231,4.871794872,30.64102564,7.243589744,3.397435897,0.5,40.3421,0.962723086,2.836133051,35.13209093,Boris,Outer,528069.6289,191881.7969
23,Barnet   East Barnet,00ACGC,E05000048,16137,3344,10576,2217,20.72256305,65.53882382,13.73861313,37.9,38.0,3.8,4302.631579,23.4,23.4,7.2,65.79710145,80.46,84.46,97.5,0.570145128,7846,66.62138066,3700,0.333607306,11.87214612,335208.1588,170,6639,10.1,37.2,17.8,34.8,67.9,9.8,20.3,0.260271426,0.495755097,4.666166542,74.56864216,20.90022506,10,40,3.303167421,3.619909502,4.306885543,9.589250227,26.49006623,20.92715232,5.221252488,42.97029703,522.0,30.0,350.6362573,0.615518962,17.1,36.5,59.00621118,11.11801242,1.739130435,19.8136646,6.149068323,2.546583851,0.4,34.8502,1.177308222,2.394330371,35.29724556,Boris,Outer,527336.6424,195814.7086
24,Barnet   East Finchley,00ACGD,E05000049,15989,3017,10891,2081,18.86922259,68.11557946,13.01519795,37.0,35.0,2.5,6080.0,28.2,34.4,10.4,67.83783784,79.3,84.92,120.8,0.746268657,8403,70.11849132,3900,0.372631579,29.66507177,444912.9954,218,6805,2.9,14.4,25.7,56.9,50.2,22.2,25.5,0.350240791,0.562886985,9.369396294,73.07232516,17.82725643, ,50,4.170616114,4.312796209,4.162216408,8.493899495,27.35703246,23.80216383,4.18485624,46.85990338,389.0,30.0,351.0095941,1.122244094,14.1,49.6,69.36877076,10.96345515,6.046511628,26.17940199,6.777408638,2.19269103,0.8,37.7714,0.817853379,2.577545751,41.17202676,Ken,Outer,526933.5347,190056.0292
25,Barnet   Edgware,00ACGE,E05000050,16728,3901,10525,2302,23.32018173,62.91846007,13.7613582,36.6,35.0,5.6,2937.5,39.2,37.4,12.1,76.36363636,80.1,83.59,134.4,1.008849558,7607,64.95602425,7300,0.694218009,35.07109005,369962.2484,153,6167,19.0,37.0,7.2,36.7,60.4,15.8,20.9,0.430416069,0.573888092,10.75970549,50.23427041,40.86345382,15,55,3.632075472,4.575471698,4.215300396,9.544418841,25.1435132,21.58438576,5.567630831,45.75289575,439.0,30.0,356.4011628,0.919730942,17.0,36.0,93.66153846,13.96923077,3.2,38.89230769,9.784615385,4.184615385,0.3,53.9815,1.242099983,2.870869083,38.13540754,Boris,Outer,519030.7092,193347.2175
26,Barnet   Finchley Church End,00ACGF,E05000051,15715,2947,10178,2590,18.75278396,64.76614699,16.48106904,38.9,37.0,2.7,5629.62963,33.1,40.9,14.5,72.06349206,82.39,86.28,84.3,0.405131668,7843,68.34262809,5700,0.585,49.48979592,509321.5569,167,6508,13.7,26.0,5.2,55.2,62.3,4.9,30.4,0.076360165,0.865415208,5.091714105,47.75458571,47.2802024, ,30,2.070707071,2.02020202,3.401291138,2.948292335,14.51355662,11.80223285,2.783521552,40.79422383,533.0,11.11111111,369.0480392,0.865737952,12.3,48.6,53.51170569,6.555183946,1.471571906,22.74247492,3.879598662,1.872909699,0.0,13.7213,1.155081915,2.899893077,41.35500739,Boris,Outer,524694.2819,190136.866
27,Barnet   Garden Suburb,00ACGG,E05000052,15929,3244,10093,2592,20.36537134,63.36242074,16.27220792,38.9,37.0,4.7,3297.87234,21.4,36.0,10.9,73.53846154,82.68,87.26,86.9,0.602995526,7859,69.08403657,6000,0.629947644,35.60209424,1070407.222,176,6602,18.4,30.1,12.8,38.8,66.1,4.9,26.7,0.087890012,0.841232971,3.607770583,34.45883441,62.27258711, ,25,1.288659794,1.340206186,2.011472102,2.56808682,11.12852665,8.307210031,2.37298933,41.81184669,587.0,0.0,379.5219512,0.764852608,8.2,57.3,82.09150327,6.405228758,2.156862745,46.99346405,4.967320261,0.91503268,0.2,24.2306,1.241598981,2.655346509,48.04345287,Boris,Outer,525971.5262,188465.0597
28,Barnet   Golders Green,00ACGH,E05000053,18818,5116,11448,2254,27.1867361,60.83537039,11.97789351,33.6,30.0,3.0,6183.333333,34.2,45.8,17.5,98.71794872,78.26,84.16,102.0,0.335873918,7947,63.8313253,5800,0.530917431,66.05504587,536557.2056,107,6373,11.2,39.5,11.9,37.3,49.4,13.3,34.7,0.228504623,0.589860772,8.03424432,57.50740863,36.05531775,10,55,3.277310924,3.655462185,4.485511,5.240201929,15.27403414,16.80143756,5.31361716,57.69230769,430.0,36.36363636,362.8547445,1.124675325,16.4,37.4,83.25581395,11.22093023,2.906976744,33.08139535,5.23255814,2.151162791,0.3,14.5748,0.962300942,3.41317788,37.30976352,Boris,Outer,523950.5604,187724.1408
29,Barnet   Hale,00ACGJ,E05000054,17437,4029,11076,2332,23.10603888,63.52010093,13.37386018,36.5,35.0,5.4,3092.592593,40.6,35.7,11.7,90.46153846,81.18,83.76,96.6,0.286481647,8130,66.38902499,2900,0.276730769,35.09615385,383746.4304,158,6327,11.3,49.2,15.4,24.1,66.9,13.6,17.9,0.149108218,0.424384929,3.335461219,77.91254389,18.87966805,15,55,3.80952381,4.476190476,4.094464289,11.04943518,27.50275028,20.57205721,5.02829426,40.90909091,460.0,30.0,348.3361257,0.900360036,17.8,36.5,57.63636364,9.878787879,1.696969697,16.78787879,5.818181818,2.121212121,0.5,48.7605,1.23912692,2.510213463,36.78173242,Boris,Outer,520761.9603,193358.9297
30,Barnet   Hendon,00ACGK,E05000055,18472,3710,12558,2204,20.08445214,67.98397575,11.93157211,34.8,31.0,2.8,5892.857143,36.3,48.2,20.3,88.35443038,80.08,85.31,107.9,0.675675676,8670,63.93333825,7600,0.717924528,77.83018868,426615.9665,179,7255,10.9,22.4,8.2,58.4,49.0,12.1,36.6,0.178648766,0.692940667,12.64465143,64.12644651,23.69460909,15,50,3.726415094,3.679245283,4.723692947,6.252348156,19.63190184,15.82822086,3.589375449,40.81081081,427.0,40.0,353.9710744,1.117798595,13.5,41.3,81.89602446,11.98776758,4.95412844,31.55963303,6.666666667,4.036697248,0.3,16.3632,0.975305097,2.599918038,34.20888055,Boris,Outer,523098.6414,189519.7094
31,Barnet   High Barnet,00ACGL,E05000056,15307,2825,9955,2527,18.45560855,65.03560463,16.50878683,40.5,41.0,8.3,1861.445783,18.3,22.1,6.3,56.4516129,78.23,82.27,115.2,0.685192234,7729,69.20046557,6200,0.601456311,13.10679612,455955.9871,232,6794,19.7,25.6,15.5,38.9,69.9,7.7,19.9,0.444241197,0.633697001,6.177899211,64.55676988,30.31268974,15,30,3.125,2.692307692,2.898871417,7.80003613,16.42512077,11.4331723,2.769277846,38.4180791,538.0,11.11111111,380.9744186,0.355003499,13.1,44.3,81.90163934,10.8852459,3.147540984,35.54098361,7.475409836,1.508196721,0.8,47.909,1.208384333,2.785438412,44.14041786,Boris,Outer,523744.4281,196638.5677
32,Barnet   Mill Hill,00ACGM,E05000057,18451,4210,11819,2422,22.81719148,64.05614872,13.1266598,36.6,35.0,9.4,1888.297872,36.1,34.4,10.2,63.79746835,80.69,86.65,115.7,0.280940411,8711,66.65391384,6800,0.607466667,24.88888889,457850.5314,239,7122,19.6,35.6,11.4,33.5,64.4,12.8,20.4,0.140913772,0.742507181,3.653162758,65.77114428,31.78393746,10,105,2.663755459,3.537117904,3.782902678,8.649771886,26.50475185,21.11932418,5.134545455,46.42201835,483.0,30.0,359.8989305,0.925159236,14.0,41.6,82.35632184,12.52873563,2.126436782,34.82758621,4.540229885,3.103448276,0.2,59.0317,1.273309091,2.220794892,36.98926848,Boris,Outer,523018.5918,192048.4129
33,Barnet   Oakleigh,00ACGN,E05000058,15811,3020,10194,2597,19.10062615,64.47410031,16.42527354,39.5,39.0,3.3,4848.484848,26.7,28.5,8.6,72.45901639,78.93,84.33,117.9,0.595560368,7864,68.48384568,4400,0.420095238,15.23809524,425040.2174,161,6285,16.3,35.5,8.3,39.9,70.6,7.3,20.3,0.170767187,0.518626273,4.24867229,56.49796938,39.33145892,15,40,2.796208531,3.36492891,3.653634892,8.855705679,23.60515021,18.16881259,4.196370706,48.61751152,515.0,30.0,368.562585,0.708569704,14.7,40.7,59.61904762,10.73015873,1.523809524,18.28571429,6.53968254,2.158730159,0.4,15.2636,1.287913156,3.189422625,38.25298135,Boris,Outer,526697.5418,194421.8099
34,Barnet   Totteridge,00ACGP,E05000059,15159,3048,9565,2546,20.10686721,63.09782967,16.79530312,39.5,39.0,8.8,1755.681818,34.3,37.6,13.7,68.66666667,80.31,82.97,104.9,0.542846064,7229,67.08426132,5200,0.533333333,24.1025641,620501.5789,152,6029,20.6,35.9,10.7,32.8,66.8,8.7,22.5,0.250676166,0.494755591,5.467602416,38.77917415,55.88379305, ,25,2.288557214,2.23880597,2.52690701,6.549227837,13.74795417,12.27495908,3.353973168,47.01195219,574.0,20.0,378.5144444,0.556803456,13.0,47.0,49.16943522,7.242524917,1.129568106,17.07641196,3.986710963,1.794019934,0.3,57.7436,1.29377365,2.68645904,40.76646707,Boris,Outer,524603.368,193868.7481
35,Barnet   Underhill,00ACGQ,E05000060,15915,3274,10059,2582,20.57178762,63.20452403,16.22368834,39.0,39.0,4.6,3641.304348,27.3,25.4,6.9,48.91891892,78.17,82.58,133.4,0.44788975,7152,62.7753884,4800,0.443686636,10.13824885,369873.5512,127,6462,10.4,36.5,21.0,30.0,60.3,25.7,11.3,0.578071002,0.502670437,15.1684521,69.46126378,15.29265642, ,65,4.234234234,4.864864865,5.430472481,10.28318877,33.20413437,26.22739018,5.805837563,46.5266559,410.0,50.0,337.1758065,1.16280285,21.6,31.8,64.3768997,14.04255319,2.73556231,19.75683891,8.085106383,2.73556231,0.6,43.7291,1.097239848,2.635826685,35.54882009,Boris,Outer,523354.9945,195438.6703
36,Barnet   West Finchley,00ACGR,E05000061,16533,2903,11562,2068,17.55882175,69.93286155,12.5083167,37.1,35.0,2.2,6931.818182,39.2,44.7,19.0,64.59459459,79.94,81.65,109.0,0.813262434,8809,70.25281123,8000,0.770288462,40.38461538,386756.8204,167,6862,3.7,24.1,17.1,55.0,53.8,7.2,36.9,0.193552289,0.641141959,6.308865301,67.8726267,26.02780685, ,45,3.19047619,3.095238095,3.302902072,5.008725027,20.1048951,15.90909091,3.066566941,40.12345679,503.0,10.0,376.762037,0.963434493,12.2,49.5,76.07973422,11.96013289,3.65448505,30.23255814,5.581395349,3.056478405,0.2,13.3709,0.923410621,3.778123296,39.32930307,Boris,Outer,525618.3262,191370.6571
