,lat,lon,name,projected_lon,projected_lat,centroid_distance,travel_time
117,51.51891348,-0.156166631,"Baker Street, Marylebone",24634.6753765,27060.203893,3108.89319493,17.45
118,51.52111369,-0.078869751,"Norton Folgate, Liverpool Street",29992.9104396,27442.9919132,3752.47721964,21.6333333333
119,51.52836014,-0.104724625,"St. John Street, Finsbury",28177.7045752,28202.321547,3291.05516127,14.8833333333
120,51.49654462,-0.150905245,"Eaton Square, Belgravia",25062.7134732,24580.995934,2060.82181374,7.36666666667
121,51.50069491,-0.094524319,"Borough High Street, The Borough",28965.6383491,25143.1091494,1911.13493768,8.76666666667
122,51.51700801,-0.09388536,"Wood Street, Guildhall",28962.7303927,26959.0018394,2657.73716467,16.55
123,51.49536226,-0.185296516,"Emperor's Gate, South Kensington",22677.9200441,24389.6923533,4435.56484723,18.45
124,51.5118973,-0.137043852,"Golden Square, Soho",25981.7376247,26313.308881,1613.20805789,8.6
125,51.50950627,-0.075459482,"Tower Gardens , Tower",30263.5457388,26157.9560083,3375.91388225,19.0333333333
126,51.53300545,-0.136792671,"Eversholt Street , Camden Town",25939.372956,28661.9295203,3724.14516109,16.35
127,51.52364804,-0.074754872,"Bethnal Green Road, Shoreditch",30271.0624345,27732.4301604,4150.65527679,22.7833333333
128,51.50136494,-0.191462381,"Derry Street, Kensington",22233.2626552,25046.8651383,4821.94675058,16.2833333333
131,51.51196176,-0.097441687,"Queen Victoria Street, St. Paul's",28730.4964632,26391.2108376,2110.12128805,9.95
132,51.49087475,-0.153319609,"Bourne Street, Belgravia",24910.9796451,23946.0197774,2438.846084,9.7
133,51.51227622,-0.157436972,"Green Street, Mayfair",24565.1024012,26319.6195041,2768.54635548,15.2833333333
134,51.49488108,-0.117974901,"Lambeth Road, Vauxhall",27354.0735267,24454.2212852,719.702100989,4.43333333333
135,51.52096262,-0.085634242,"Finsbury Square , Moorgate",29523.8966665,27413.8808393,3377.86697156,18.7666666667
136,51.51530805,-0.147203711,"Chapel Place, Marylebone",25266.8911904,26674.831819,2376.81712304,12.1333333333
137,51.49372451,-0.198286569,"West Cromwell Road, Earl's Court",21780.3780054,24185.2155077,5354.67838319,18.9
138,51.4968865,-0.161203828,"Pont Street, Knightsbridge",24346.6479533,24601.0117749,2755.35050216,10.2
139,51.48894022,-0.111435796,"Kennington Cross, Kennington",27825.2006774,23805.0318643,1514.32862933,8.81666666667
140,51.50074359,-0.202759212,"Ilchester Place, Kensington",21450.6128406,24958.4207363,5606.21538044,18.9333333333
141,51.48836528,-0.129361842,"Vauxhall Bridge , Pimlico",26581.8900398,23709.1041704,1477.38841978,9.18333333333
142,51.51494305,-0.11614642,"Portugal Street, Holborn",27423.5907582,26689.2702653,1622.96875197,10.2833333333
143,51.49211134,-0.138364847,"Tachbrook Street, Victoria",25946.0328106,24109.8919971,1492.35322576,6.9
144,51.48478899,-0.110683213,"Kennington Road Post Office, Oval",27889.3862398,23344.581048,1951.62033002,8.53333333333
145,51.49705603,-0.168917077,"Holy Trinity Brompton, Knightsbridge",23810.5891916,24606.4433843,3282.87976173,12.75
146,51.51213691,-0.201554966,"Chepstow Villas, Notting Hill",21503.0774252,26227.9320677,5663.41924333,21.0666666667
147,51.49217002,-0.101536865,"Hampton Street, Walworth",28503.3506755,24182.1119079,1719.5726902,8.83333333333
148,51.51183419,-0.174292825,"Bayswater Road, Hyde Park",23396.2993223,26241.1183562,3829.747303,14.8833333333
149,51.50379168,-0.11282408,"Waterloo Station 3, Waterloo",27686.1852316,25454.6845111,719.930155935,5.53333333333
150,51.49586666,-0.191933711,"Lexham Gardens, Kensington",22215.6484734,24434.3982582,4885.92489945,17.4
151,51.49443626,-0.092921165,"New Kent Road, Borough",29095.0890405,24449.7714073,2144.05883555,8.45
152,51.50039792,-0.193068385,"Wright's Lane, Kensington",22124.4127036,24936.5342935,4933.40644641,16.6333333333
153,51.49085368,-0.196170309,"Trebovir Road, Earl's Court",21935.2066097,23869.4686611,5267.46533494,19.05
154,51.51461995,-0.137841333,"Great Marlborough Street, Soho",25918.6730886,26614.78072,1886.51185279,11.1
155,51.50663341,-0.131773845,"Waterloo Place, St. James's",26362.5010037,25737.0554551,934.910078112,4.76666666667
156,51.49234577,-0.141334487,"Guildhouse Street, Victoria",25739.1459697,24130.7300436,1639.3625554,7.13333333333
157,51.51760685,-0.121328408,"Southampton Place, Holborn",27056.3034465,26976.3562254,1867.60228035,9.5
158,51.4931848,-0.167894973,"Sloane Avenue, Knightsbridge",23892.3411131,24177.5645162,3296.71629631,13.5833333333
159,51.515607,-0.183118788,"Cleveland Gardens, Bayswater",22773.2268007,26645.5778819,4549.04381727,18.6666666667
160,51.517932,-0.183716959,"Orsett Terrace, Bayswater",22725.2880362,26903.193114,4686.66079614,19.3833333333
161,51.50185512,-0.159237081,"Seville Street, Knightsbridge",24469.3112624,25157.1785391,2585.95438186,9.48333333333
162,51.49395092,-0.147624377,"Eccleston Place, Victoria",25297.8317583,24298.2212851,1934.9275146,7.33333333333
163,51.50040123,-0.195455928,"Argyll Road, Kensington",21958.63131,24932.812405,5099.21714205,17.65
164,51.51474612,-0.165164288,"Porchester Place, Paddington",24021.8299507,26580.9060431,3371.3812405,15.5
165,51.52784273,-0.108068155,"Hardwick Street, Clerkenwell",27947.1893607,28138.7571111,3158.67892429,16.35
166,51.4916156,-0.186753859,"Collingham Gardens, Earl's Court",22587.0479699,23970.3862228,4610.50970996,17.8833333333
167,51.49121192,-0.173715911,"Sumner Place, South Kensington",23493.5941375,23947.9893715,3745.61743649,15.75
168,51.50486,-0.113001,"Waterloo Roundabout, Waterloo ",27670.8378521,25573.2123703,771.497673383,4.06666666667
169,51.512529,-0.115163,"Strand, Strand",27498.7670014,26422.4781829,1386.71037362,7.9
170,51.52174384,-0.0811189,"Appold Street, Liverpool Street",29834.981683,27508.9961643,3672.94188878,20.15
171,51.51791921,-0.188098863,"Gloucester Terrace, Bayswater",22421.1952935,26894.2299386,4965.715274,20.8833333333
172,51.49616092,-0.140947636,"Ashley Place, Victoria",25755.2303508,24555.8271602,1412.31785095,5.81666666667
173,51.48985626,-0.141923621,"Warwick Square, Pimlico",25705.2645198,23852.7468427,1843.59277527,9.75
174,51.5129118,-0.153645496,"North Audley Street, Mayfair",24826.498996,26396.958567,2573.87828401,14.7833333333
175,51.49941247,-0.152317537,"Belgrave Square, Belgravia",24956.5929753,24897.5527622,2108.8219871,10.0
176,51.52202903,-0.165842551,"Bell Street , Marylebone",23954.4418771,27389.915726,3849.15478951,20.5833333333
177,51.52071513,-0.14521173,"Portland Place, Marylebone",25389.9045048,27279.845721,2735.9741595,12.7333333333
178,51.48805753,-0.140741432,"Alderney Street, Pimlico",25792.4475612,23654.7327836,1925.55025666,10.8
179,51.51733558,-0.175810943,"South Wharf Road, Paddington",23275.6623066,26850.494779,4161.20572633,17.6333333333
180,51.49247977,-0.178433004,"Queen's Gate (South), South Kensington",23162.5008887,24080.8685521,4025.74677225,15.7333333333
181,51.5165179,-0.164393768,"Nutford Place, Marylebone",24070.3671678,26779.3496285,3420.20470066,15.4833333333
182,51.53166681,-0.109914711,"Claremont Square, Angel",27808.0661718,28560.8539317,3533.32445859,18.3833333333
183,51.48997562,-0.132845681,"Rampayne Street, Pimlico",26335.3679905,23882.0678624,1422.09711331,9.13333333333
184,51.50311799,-0.153520935,"Hyde Park Corner, Hyde Park",24862.6365655,25307.6641838,2201.18130308,10.6666666667
185,51.51251523,-0.133201961,"Wardour Street, Soho",26246.6655762,26388.8469656,1513.84860815,8.56666666667
186,51.50581776,-0.100186337,"Bankside Mix, Bankside",28557.7249636,25702.7759755,1616.04708848,7.08333333333
187,51.50462759,-0.091773776,"Hop Exchange, The Borough",29145.203255,25585.5723027,2144.08252509,9.06666666667
