,lat,lon,name,projected_lon,projected_lat,centroid_distance,travel_time
0,51.52916347,-0.109970527,"River Street , Clerkenwell",27811.388446635683,28282.270369074802,2968.3132497467805,1108.0
1,51.49960695,-0.197574246,"Phillimore Gardens, Kensington",21813.727944294733,24840.82796555708,3969.7514444084513,1552.0
2,51.52128377,-0.084605692,"Christopher Street, Liverpool Street",29594.34266148755,27451.475186475815,4503.092526721475,1141.0
3,51.53005939,-0.120973687,"St. Chad's Street, King's Cross",27045.34411292318,28362.269050930423,2336.6263174785454,1190.0
4,51.49313,-0.156876,"Sedding Street, Sloane Square",24657.683763620982,24190.679445643647,2899.4346642257365,815.0
5,51.51811784,-0.144228881,"Broadcasting House, Marylebone",25465.443586844296,26992.639642519905,362.0669893210155,832.0
6,51.53430039,-0.16807429999999998,"Charlbert Street, St. John's Wood",23765.376605300116,28751.169731627422,2163.8606926480893,1642.0
7,51.52834133,-0.17013448399999997,"Lodge Road, St. John's Wood",23639.02229163931,28084.672708070168,1794.6379902570404,1623.0
8,51.507385299999996,-0.09644075099999999,"New Globe Walk, Bankside",28813.219009397813,25883.913070465584,3885.1076962190787,619.0
9,51.50597426,-0.09275415699999999,"Park Street, Bankside",29073.236006976804,25733.6070493531,4178.839120062041,697.0
10,51.52395143,-0.122502346,"Brunswick Square, Bloomsbury",26956.713904699835,27680.066320300073,1950.8707048448612,906.0
11,51.52168078,-0.130431727,"Malet Street, Bloomsbury",26412.90331178326,27413.376565742452,1352.542942310937,847.0
12,51.51991453,-0.136039674,"Scala Street, Fitzrovia",26028.72160852814,27206.9599765944,932.4635904387833,829.0
13,51.52994371,-0.123616824,"Belgrove Street , King's Cross",26862.2763457494,28344.692840710777,2176.839623803434,1206.0
14,51.51772703,-0.127854211,"Great Russell Street, Bloomsbury",26603.03541543476,26978.11631260722,1496.24783880117,673.0
15,51.52635795,-0.125979294,"Cartwright Gardens , Bloomsbury",26708.570908625552,27941.593157539988,1829.150854979278,987.0
16,51.521661200000004,-0.109006325,"Hatton Wall, Holborn",27899.86441996679,27449.411714097107,2818.8655738999964,831.0
17,51.51477076,-0.12221963,"Drury Lane, Covent Garden",27002.544766027015,26659.268355746608,1934.6566527733585,567.0
18,51.52505093,-0.13116108699999998,"Taviton Street, Bloomsbury",26352.709512971545,27786.995590519422,1443.4391111738125,986.0
19,51.52773634,-0.135273468,"Drummond Street , Euston",26059.719835237338,28078.452451767545,1397.202320424144,1077.0
20,51.53007835,-0.13884627,"Hampstead Road (Cartmel), Euston",25805.17446620221,28332.676568866445,1455.3137178248107,1192.0
21,51.5222641,-0.114079481,"Northington Street , Holborn",27546.063038854147,27507.39353710311,2478.972079077098,882.0
22,51.51943538,-0.119123345,"Red Lion Square, Holborn",27204.117475885403,27183.702422526345,2099.323347357711,742.0
23,51.51908011,-0.124678402,"British Museum, Bloomsbury",26819.595121777704,27134.284073330433,1712.6853975590736,728.0
25,51.52728093,-0.11829517,"Ampton Street , Clerkenwell",27239.14714776416,28057.956801558466,2354.7551297311666,1048.0
26,51.51382102,-0.107927706,"Bouverie Street, Temple",27997.27389846329,26579.169844115357,2927.4186150793635,582.0
27,51.52351808,-0.143613641,"Bolsover Street, Fitzrovia",25492.90148773488,27594.473070482403,662.4218557457668,1019.0
28,51.513735,-0.193487,"Hereford Road, Bayswater",22058.72103905573,26419.507656072936,3115.4961471967,1639.0
29,51.52915444,-0.093421615,"Windsor Terrace, Hoxton",28959.704078040668,28311.062933756184,4050.676265423842,1260.0
30,51.52953709,-0.08335332299999999,"Fanshaw Street, Hoxton",29657.202440424328,28371.886189572484,4735.299584086749,1387.0
31,51.52469624,-0.084439283,"Leonard Circus , Shoreditch",29595.95184042104,27831.395315154892,4553.9017248075825,1218.0
32,51.51681603,-0.067827542,"Altab Ali Park, Whitechapel",30771.861011609813,26985.083536635415,5663.535732478677,1363.0
33,51.5341235,-0.129386874,"Pancras Road, King's Cross",26450.02173776251,28799.420572284056,2200.6035561673007,1274.0
34,51.50173726,-0.184980612,"De Vere Gardens, Kensington",22682.26893345738,25099.425029220496,3116.30734219918,1303.0
35,51.49159394,-0.19236925600000002,"Penywern Road, Earl's Court",22197.14345941684,23958.33115584546,4250.37340042108,1846.0
36,51.4973875,-0.19724558600000003,"Abingdon Villas, Kensington",21842.62956840392,24594.486278518132,4089.1045537494992,1623.0
37,51.5263778,-0.07813092099999999,"Shoreditch High Street, Shoreditch",30028.801506385178,28029.940272963635,5015.7488847592695,1395.0
38,51.52127071,-0.0755789,"Commercial Street, Shoreditch",30220.8348358988,27466.461611275707,5128.627513506045,1341.0
39,51.52001715,-0.08391116800000001,"Sun Street, Liverpool Street",29646.23242248516,27311.83311223137,4544.751398211974,1159.0
40,51.53099181,-0.093903825,"Wenlock Road , Hoxton",28920.918919616845,28514.588394037244,4082.1004083766024,1314.0
41,51.52026,-0.157183945,"Crawford Street, Marylebone",24560.29720551378,27208.219075296627,569.5077810272346,1153.0
42,51.522511,-0.162298,"Boston Place, Marylebone",24199.08350158675,27449.70535049963,991.6864355670074,1330.0
43,51.507131,-0.06691,"Nesham Street, Wapping",30864.00750242491,25909.365776063496,5868.132940196934,1407.0
44,51.52334476,-0.18384640800000002,"Warwick Avenue Station, Maida Vale",22701.356834325547,27505.116137122357,2449.1503295069765,1681.0
45,51.51248445,-0.09914140800000001,"Godliman Street, St. Paul's",28611.0019375727,26446.290782694676,3554.720124832346,670.0
46,51.50706909,-0.145904427,"Curzon Street, Mayfair",25380.296726437096,25760.573383744602,1322.4179799977894,761.0
